State,Generation,Date,Estimated_Consumption,Estimated_Surplus,Energy_Status
मिज़ोरम / Mizoram,0.0,Report-2025-12-08,0.0,0.0,Surplus
नागालैंड / Nagaland,0.0,Report-2025-12-08,0.0,0.0,Surplus
त्रिपुरा / Tripura,0.0,Report-2025-12-08,0.0,0.0,Surplus
उत्तर-पूर्वी क्षेत्र/North-Eastern Region,0.0,Report-2025-12-08,0.0,0.0,Surplus
राज्य / State / क्षेत्र / Region,9.0,Report-2025-12-09,8.82,0.18,Surplus
चंडीगढ़ / Chandigarh,0.0,Report-2025-12-09,0.0,0.0,Surplus
दिल्ली / Delhi,0.0,Report-2025-12-09,0.0,0.0,Surplus
हरियाणा / Haryana,0.0,Report-2025-12-09,0.0,0.0,Surplus
हिमाचल प्रदेश / Himachal Pradesh,0.0,Report-2025-12-09,0.0,0.0,Surplus
जम्मू और कश्मीर / Jammu and Kashmir,0.0,Report-2025-12-09,0.0,0.0,Surplus
लद्दाख़ / Ladakh,0.0,Report-2025-12-09,0.0,0.0,Surplus
पंजाब / Punjab,0.0,Report-2025-12-09,0.0,0.0,Surplus
राजस्थान / Rajasthan,2.81,Report-2025-12-09,2.75,0.06,Surplus
उत्तर प्रदेश / Uttar Pradesh,0.0,Report-2025-12-09,0.0,0.0,Surplus
उत्तराखंड / Uttarakhand,0.0,Report-2025-12-09,0.0,0.0,Surplus
उत्तरी क्षेत्र/Northern Region,2.81,Report-2025-12-09,2.78,0.03,Surplus
छत्तीसगढ़ / Chhattisgarh,0.0,Report-2025-12-09,0.0,0.0,Surplus
गुजरात / Gujarat,85.78,Report-2025-12-09,79.41,6.37,Surplus
मध्य प्रदेश / Madhya Pradesh,5.1,Report-2025-12-09,4.99,0.11,Surplus
महाराष्ट्र / Maharashtra,26.68,Report-2025-12-09,26.13,0.55,Surplus
दमन और दीव / Daman & Diu,0.0,Report-2025-12-09,0.0,0.0,Surplus
दादरा और नगर ​​हवेली / Dadra & Nagar Haveli,0.0,Report-2025-12-09,0.0,0.0,Surplus
गोआ / Goa,0.0,Report-2025-12-09,0.0,0.0,Surplus
पश्चिमी क्षेत्र/Western Region,117.56,Report-2025-12-09,114.83,2.73,Surplus
आंध्र प्रदेश / Andhra Pradesh,8.73,Report-2025-12-09,8.34,0.39,Surplus
तेलंगाना / Telangana,1.08,Report-2025-12-09,1.09,-0.01,Deficit
कर्नाटक / Karnataka,35.01,Report-2025-12-09,33.25,1.76,Surplus
केरल / Kerala,0.34,Report-2025-12-09,0.33,0.01,Surplus
तमिलनाडु / Tamil Nadu,39.56,Report-2025-12-09,36.74,2.82,Surplus
पांडिचेरी / Pondicherry,0.0,Report-2025-12-09,0.0,0.0,Surplus
दक्षिणी क्षेत्र/Southern Region,84.72,Report-2025-12-09,86.91,-2.19,Deficit
बिहार / Bihar,0.0,Report-2025-12-09,0.0,0.0,Surplus
झारखंड / Jharkhand,0.0,Report-2025-12-09,0.0,0.0,Surplus
