1,2,3,4,5,6,Month,7,8,9,10,11,12,13,14,Estimated_Consumption,Estimated_Surplus,Energy_Status
,,,,Month -May 2025,,RE_Monthly_Generation_report_May_2025_2,,,,,,,,,,,Deficit
, Central Electricity Authority / केन्द्रीय विद्युत प्राधिकरण,,,,,RE_Monthly_Generation_report_May_2025_2,,,,,,,,,,,Deficit
,Renewable Energy Project Monitoring Division/नवीकरणीय ऊर्जा परियोजना प्रबोधन प्रभाग,,,,,RE_Monthly_Generation_report_May_2025_2,,,,,,,,,,,Deficit
1. SUMMARY-ALL INDIA                                                                                                                                               AN OVERVIEW,,,,,,RE_Monthly_Generation_report_May_2025_2,,,,,,,,,,,Deficit
Category, Installed Capacity (MW)  (as on 31.05.2025),"Monitored Capacity (MW) 
(as on 31.05.2025)
for which generation data is available 
",RE Generation(MU) May'2025,RE Generation(MU) May'2024,% of same Month Last Year ,RE_Monthly_Generation_report_May_2025_2,,,RE Generation(MU) April'2025- May'2025,RE Generation(MU) April'2024- May'2024,% of same period Last Year ,,,,,,Deficit
,1,2,3,4,5,RE_Monthly_Generation_report_May_2025_2,,,6,7,8,,,,,,Deficit
पवन/Wind ,51292.25,49167.5,10667.4218,8257.627100000002,129.18265345258808,RE_Monthly_Generation_report_May_2025_2,78807.284749381,67673.092600214,16998.135003,12986.885849000002,130.88692085723434,6330.713202999999,,,80596.38,-1789.1,Deficit
सौर/Solar ,110834.28,90022.5(*),14305.3179055,12645.988384600001,113.12139051875687,RE_Monthly_Generation_report_May_2025_2,103749.271811933,91769.907699827,30117.1407769,24667.042957600002,122.09465410453993,15811.8228714,,,106769.37,-3020.1,Deficit
बायोमास/Biomass ,10743.11,10046.27,359.617597,295.157313,121.83929760872975,RE_Monthly_Generation_report_May_2025_2,3112.039664,2873.394282,685.5798580000001,573.890275,119.46183580127754,325.962261,,,2804.08,307.96,Surplus
बगास/Bagasse,,,239.400984,317.068,75.50461856762587,RE_Monthly_Generation_report_May_2025_2,9369.8799005,11179.50804017,683.837812,1098.17951,62.27013031776563,444.436828,,,9150.74,219.14,Surplus
लघु जल विद्युत्/Small Hydro ,5102.05,4261.93,780.905659,734.158953,106.36738213284447,RE_Monthly_Generation_report_May_2025_2,9016.81973476,10591.78633738,1468.3850091,1328.000152,110.5711476680614,687.4793500999999,,,8679.7,337.12,Surplus
